,Brand,Product Name,New Price,Previous Price,Discount Percentage,Discount,Availability,Product URL,Product Image Link
0,TAAR,TAAR Nova Micro USB Cable,499.0,680,27,183.6, True, https://priceoye.pk/mobile-cables/taar/taar-nova-micro-usb-cable, https://images.priceoye.pk/taar-nova-micro-usb-cable-pakistan-priceoye-6lbl8-270x270.webp
1,TAAR,TAAR Charge Up Micro USB Cable,399.0,600,34,204.0, True, https://priceoye.pk/mobile-cables/taar/taar-charge-up-micro-usb-cable, https://images.priceoye.pk/taar-charge-up-micro-usb-cable-pakistan-priceoye-6zj7k-270x270.webp
2,Aukey,Aukey 90Â° Lightning Cable (CB-BAL6),2449.0,3000,18,540.0, True, https://priceoye.pk/mobile-cables/aukey/aukey-90-lightning-cable-cb-bal6, https://images.priceoye.pk/aukey-90-lightning-cable-cb-bal6-pakistan-priceoye-ondwt-270x270.webp
3,Tronsmart,Tronsmart Lightning Cable (LTA14),1799.0,1800,0,0.0, True, https://priceoye.pk/mobile-cables/tronsmart/tronsmart-lightning-cable-lta14, https://images.priceoye.pk/tronsmart-lightning-cable-lta14-pakistan-priceoye-wv4t3-270x270.webp
4,TAAR,TAAR NovaTYPE-C Cable,549.0,720,24,172.8, True, https://priceoye.pk/mobile-cables/taar/taar-novatype-c-cable, https://images.priceoye.pk/taar-novatype-c-cable-pakistan-priceoye-zlg5e-270x270.webp
5,LOGIN,LOGIN IOS 40w Support Data Cable With Led Indication (LT-212),799.0,1199,33,395.67, True, https://priceoye.pk/mobile-cables/login/login-ios-40w-support-data-cable-with-led-indication-lt-212, https://images.priceoye.pk/login-ios-40w-support-data-cable-with-led-indication-lt-212-pakistan-priceoye-pt8f6-270x270.webp
6,LOGIN,LOGIN Micro 2.4A TPE Wire (LT-D121),449.0,849,47,399.03, True, https://priceoye.pk/mobile-cables/login/login-micro-2-4a-tpe-wire-lt-d121, https://images.priceoye.pk/login-micro-2-4a-tpe-wire-lt-d121-pakistan-priceoye-xsu5m-270x270.webp
7,LOGIN,LOGIN Micro 2.4A Metal Data Cable (LT-D3),449.0,849,47,399.03, True, https://priceoye.pk/mobile-cables/login/login-micro-2-4a-metal-data-cable-lt-d3, https://images.priceoye.pk/login-micro-2-4a-metal-data-cable-lt-d3-pakistan-priceoye-1r39f-270x270.webp
8,LOGIN,LOGIN Micro 3.1A Data Cable (LT-DC10),549.0,949,42,398.58, True, https://priceoye.pk/mobile-cables/login/login-micro-3-1a-data-cable-lt-dc10, https://images.priceoye.pk/login-micro-3-1a-data-cable-lt-dc10-pakistan-priceoye-af4g3-270x270.webp
9,LOGIN,LOGIN Micro 2.1A Data Cable (LT-D2),499.0,899,44,395.56, True, https://priceoye.pk/mobile-cables/login/login-micro-2-1a-data-cable-lt-d2, https://images.priceoye.pk/login-micro-2-1a-data-cable-lt-d2-pakistan-priceoye-5o70r-270x270.webp
